Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,21/11/2014,115.2,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,21/11/2014,357.6,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,21/11/2014,127.2,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,21/11/2014,352.8,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PROKILL UK LIMITED,19/11/2014,108.94,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,12/11/2014,102.81,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd (39521486),25/11/2014,217.49,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd (39521486),25/11/2014,247.39,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/11/2014,259.85,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/11/2014,562.83,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,19/11/2014,768.30,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,06/11/2014,194.25,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,04/11/2014,601.76,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,04/11/2014,310.91,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,04/11/2014,108.29,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,04/11/2014,309.82,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,06/11/2014,762.05,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,06/11/2014,326.59,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,20/11/2014,114.9,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,20/11/2014,1398.94,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,18/11/2014,3638.87,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,18/11/2014,5291.85,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,13/11/2014,592.60,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,12/11/2014,490.88,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,12/11/2014,346.52,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,14/11/2014,255.00,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,06/11/2014,225.00,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,04/11/2014,255.00,,,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,21/11/2014,255,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,2001.49,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/11/2014,1586.53,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CLEANIT CLEANING SERVICES,14/11/2014,151.66,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,14/11/2014,120.66,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,14/11/2014,332.42,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,14/11/2014,147.36,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,18/11/2014,106.25,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,04/11/2014,183.74,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,11/11/2014,107.7,,,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,11/11/2014,131.22,,,,,,,,,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,25/11/2014,8312.39,,,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Ducatt Heating Co. Ltd,17/11/2014,8767.55,,,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,RCS ROOFING CONSTRUCTION SERVICES LTD,21/11/2014,7260,,,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,WENLOCK HEALTH & SAFETY LTD,21/11/2014,380,,,,,,,,,
"Development, Business & Employment",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,OLIVEJOYCE LTD,20/11/2014,1782,,,,,,,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,SPECIALIST COMPUTERS CENTRES PLC,18/11/2014,781.08,,,,,,,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Other Capital Expenditure,Humanware,17/11/2014,200,,,,,,,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Other Capital Expenditure,JENX LIMITED,24/11/2014,"2,068.00",,,,,,,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Other Capital Expenditure,The Bambach Saddle Seat Ltd,12/11/2014,944.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,CONCERTO SUPPORT SERVICES LTD,28/11/2014,2250,,,,,,,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,17/11/2014,250.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,Baart Harries Newall,13/11/2014,4800,,,,,,,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,17/11/2014,495.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,17/11/2014,467.50,,,,,,,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,28/11/2014,2133,,,,,,,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,11/11/2014,"2,332.30",,,,,,,,,
"Development, Business & Employment",Property & Design,WPMB,Capital Expenditure,Payments to Contractor,Cosgriff Whitehouse Electrical Ltd,24/11/2014,6404.69,,,,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,13/11/2014,"151,251.76",,,,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,17/11/2014,495.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,17/11/2014,495.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,17/11/2014,495.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,17/11/2014,495.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WPWL,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,13/11/2014,"1,232.00",,,,,,,,,
"Development, Business & Employment",Property & Design,WPWL,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,13/11/2014,528.00,,,,,,,,,
"Development, Business & Employment",Property & Design,WXHS,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,13/11/2014,"6,480.83",,,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Other Capital Expenditure,Bulleys,18/11/2014,4414.05,,,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,COOPER & WILLIAMS LTD,13/11/2014,"121,153.57",,,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,06/11/2014,38369.93,,,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,17/11/2014,13739.65,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,External Professional Fees,STRATASCAN T/A SUMO SERVICES LTD,27/11/2014,1600,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,AE PROPERTY MAINTENANCE,04/11/2014,190,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,BARRY LOWE SURVEYS LTD,11/11/2014,4250,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,Corun Associates Limited,24/11/2014,4510.8,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,RPS DESIGN LTD,25/11/2014,11737.3,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,VPS (UK) LTD,10/11/2014,163.84,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,VPS (UK) LTD,24/11/2014,163.84,,,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,TWS Payments,TELFORD & WREKIN SERVICES LTD,24/11/2014,2975.04,,,,,,,,,
"Development, Business & Employment",Property Investment,WGNE,Capital Expenditure,External Professional Fees,WRAGGE LAWRENCE GRAHAM & CO,06/11/2014,8709.05,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,21/11/2014,222.2,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),21/11/2014,773.38,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,12/11/2014,1925.93,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,25/11/2014,356.7,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,10/11/2014,159.6,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,25/11/2014,5326.34,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/11/2014,310.08,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/11/2014,2344.18,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,Dilapidations,JONES & HAMPTON LTD,13/11/2014,236.53,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),21/11/2014,925.13,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,325.31,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,323.09,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,822.48,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,766.83,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,536.38,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,17/11/2014,124,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Fire Alarms & Emergency Light,SECURITY WISE LTD,17/11/2014,200,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),20/11/2014,1649.68,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),11/11/2014,949.85,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,19/11/2014,122.17,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,17/11/2014,1323.45,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,25/11/2014,1386.54,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,25/11/2014,1702.36,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,11/11/2014,345,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,11/11/2014,345,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,MIDLAND TML,25/11/2014,1504.31,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,10/11/2014,273.3,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,04/11/2014,273.3,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,04/11/2014,273.3,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,04/11/2014,273.3,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/11/2014,473.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/11/2014,"1,929.66",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,TELFORD & WREKIN SERVICES LTD,25/11/2014,"8,672.33",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Fire Alarms & Emergency Light,PP ELECTRICAL SERVICES (Shropshire) Ltd,21/11/2014,139.20,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Planned Repairs,West Mercia Energy (WME),11/11/2014,293.33,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,17/11/2014,186.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,13/11/2014,277,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,19/11/2014,163.82,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,19/11/2014,114.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,25/11/2014,138.70,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,PROKILL UK LIMITED,25/11/2014,150.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,FITZGERALD CONTRACTORS LTD,27/11/2014,"5,854.97",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,21/11/2014,160.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,17/11/2014,936.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Consultancy,ROSSENDALES LTD,20/11/2014,250.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Consultancy,ROSSENDALES LTD,20/11/2014,288.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Consultants Fees,Bulleys,19/11/2014,"1,750.00",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Consultants Fees,PELL FRISCHMANN,12/11/2014,"12,500.00",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAJ,Premises-Related Expenditure,Grounds Maintenance - L&CS,JONES & HAMPTON LTD,13/11/2014,865.85,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAJ,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,10/11/2014,125.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAJ,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,10/11/2014,145.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAJ,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,05/11/2014,345.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,BUSY BEE CLEANING,05/11/2014,233.75,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,BUSY BEE CLEANING,05/11/2014,250.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,PHS GROUP LTD,12/11/2014,252.99,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,05/11/2014,280.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,06/11/2014,195.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,21/11/2014,102.25,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,NPOWER LIMITED (GAS),14/11/2014,2126.35,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),25/11/2014,277.08,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),20/11/2014,292.46,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Fire Alarms & Emergency Light,PP ELECTRICAL SERVICES (Shropshire) Ltd,13/11/2014,128.36,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (52464055),17/11/2014,577.49,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (52464055),17/11/2014,194.87,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,E.ON (36166103),25/11/2014,549.68,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/11/2014,143.36,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd (06184774),25/11/2014,6788.42,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,FCC Environment Services (UK) Ltd (06184774),04/11/2014,"6,788.42",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,28/11/2014,172.34,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,MITIE LANDSCAPES LTD,04/11/2014,172.34,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,PROKILL UK LIMITED,25/11/2014,120,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,PROKILL UK LIMITED,20/11/2014,171.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,05/11/2014,392.62,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,05/11/2014,215.65,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,05/11/2014,258.6,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,21/11/2014,195.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Lift Maintenance,Lift Source (UK) Limited,06/11/2014,1025.65,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,A HAND SERVICES (Dyno Rod) LTD,25/11/2014,1438,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,21/11/2014,181.5,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,14/11/2014,174.78,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Buildings DLO Charge,ABC FIRE & SECURITY LTD,20/11/2014,150,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,10/11/2014,188,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -SCC Planned,JONES & HAMPTON LTD,10/11/2014,297.5,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M WC Planned,R M F LANDSCAPING LTD,13/11/2014,135.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M WC Planned,TELFORD & WREKIN SERVICES LTD,25/11/2014,125.00,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Marketing & Publicity,NOBRIDGE LTD,25/11/2014,3630.16,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Other Services,NOBRIDGE LTD,25/11/2014,1146,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd (06184774),25/11/2014,7586.58,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Supplies & Services,Security Services,FCC Environment Services (UK) Ltd (06184774),04/11/2014,"7,586.58",,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),11/11/2014,3271.69,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,25/11/2014,176,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Consultants Fees,Fran Raybould Associates,04/11/2014,990,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Printing - Other,Image Technique Limited,04/11/2014,3140,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAV,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,25/11/2014,3199.11,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Marketing / Advertising,3S PRINT & DISPLAY LIMITED,04/11/2014,585,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Contracts & Procurement Advice Limited,04/11/2014,200,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Contracts & Procurement Advice Limited,04/11/2014,631.15,,,,,,,,,
"Development, Business & Employment",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,D B COATINGS LTD,06/11/2014,180,,,,,,,,,
