Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,362.61,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,380.48,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,237.61,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,122.79,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,126.87,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,400.34,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,299.46,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,286.50,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,"1,014.07",,,,,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,FCC RECYCLING (UK) LIMITED,24/06/2014,379.08,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,05/06/2014,490.88,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,09/06/2014,592.60,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,09/06/2014,346.52,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,04/06/2014,255.00,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,04/06/2014,255.00,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,27/06/2014,255.00,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,27/06/2014,255.00,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,27/06/2014,255.00,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Chemicals/Cleaning Products,PROVAC CLEANING SUPPLIES LTD,23/06/2014,255.76,,,,,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,23/06/2014,255.00,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,25/06/2014,629.71,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,"1,860.13",,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,"2,266.97",,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,19/06/2014,"2,287.66",,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CLEANIT CLEANING SERVICES,10/06/2014,151.66,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,10/06/2014,976.89,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CLEANIT CLEANING SERVICES,10/06/2014,151.66,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,10/06/2014,437.95,,,,,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,R M F LANDSCAPING LTD,24/06/2014,688.60,,,,,,,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,(Scun) Complete Office Solutions,20/06/2014,732.60,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,WENLOCK HEALTH & SAFETY LTD,16/06/2014,380.00,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,JCE & SONS LTD,02/06/2014,"1,737.96",,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,JCE & SONS LTD,02/06/2014,519.75,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,AWM Ltd,03/06/2014,450.00,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,25/06/2014,895.00,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,25/06/2014,"4,000.00",,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,AFC TELFORD UNITED,18/06/2014,190.00,,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2014,"1,800.00",,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,20/06/2014,"2,600.00",,,,,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,09/06/2014,"3,660.00",,,,,,,
"Development, Business & Employment",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,OLIVEJOYCE LTD,02/06/2014,"5,000.00",,,,,,,
"Development, Business & Employment",Property & Design,WGCB,Capital Expenditure,Payments to Contractor,FINDEL EDUCATION LTD,05/06/2014,275.25,,,,,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,CONCERTO SUPPORT SERVICES LTD,16/06/2014,"4,250.00",,,,,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Plan Environment Services Fees,ForwardEnergy,06/06/2014,750.00,,,,,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,25/06/2014,225.00,,,,,,,
"Development, Business & Employment",Property & Design,WINE,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,05/06/2014,"58,007.48",,,,,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,05/06/2014,"71,244.80",,,,,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,Redacted Personal Information,25/06/2014,"3,600.00",,,,,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,23/06/2014,"38,963.72",,,,,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,09/06/2014,"1,041.64",,,,,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,24/06/2014,352.22,,,,,,,
"Development, Business & Employment",Property & Design,WPMB,Capital Expenditure,Payments to Contractor,RCS ROOFING CONSTRUCTION SERVICES LTD,16/06/2014,"5,965.00",,,,,,,
"Development, Business & Employment",Property & Design,WPMB,Capital Expenditure,Payments to Contractor,RCS ROOFING CONSTRUCTION SERVICES LTD,27/06/2014,"9,475.00",,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,GRA-BERN,02/06/2014,"2,422.64",,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,02/06/2014,495.00,,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,02/06/2014,495.00,,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,02/06/2014,385.00,,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,27/06/2014,"3,797.40",,,,,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,19/06/2014,"50,273.64",,,,,,,
"Development, Business & Employment",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,JORDAN LEWIS ASSOCIATES LTD,16/06/2014,"1,236.93",,,,,,,
"Development, Business & Employment",Property & Design,WPMU,Capital Expenditure,Payments to Contractor,JORDAN LEWIS ASSOCIATES LTD,05/06/2014,"1,236.93",,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,R M F LANDSCAPING LTD,05/06/2014,815.44,,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,25/06/2014,"4,440.00",,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,MCPHILLIPS (WELLINGTON) LTD,27/06/2014,"1,020.53",,,,,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,JORDAN LEWIS ASSOCIATES LTD,05/06/2014,344.06,,,,,,,
"Development, Business & Employment",Property & Design,WPRH,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,16/06/2014,"1,076.00",,,,,,,
"Development, Business & Employment",Property & Design,WPSL,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,20/06/2014,803.28,,,,,,,
"Development, Business & Employment",Property & Design,WPSL,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,20/06/2014,726.00,,,,,,,
"Development, Business & Employment",Property & Design,WPSL,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,20/06/2014,"1,900.00",,,,,,,
"Development, Business & Employment",Property & Design,WPSL,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,20/06/2014,"11,292.00",,,,,,,
"Development, Business & Employment",Property & Design,WPSW,Capital Expenditure,Payments to Contractor,COOPER & WILLIAMS LTD,16/06/2014,"7,978.80",,,,,,,
"Development, Business & Employment",Property & Design,WPSW,Capital Expenditure,Payments to Contractor,COOPER & WILLIAMS LTD,19/06/2014,"2,849.63",,,,,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,02/06/2014,495.00,,,,,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,02/06/2014,495.00,,,,,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,02/06/2014,192.50,,,,,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,20/06/2014,675.00,,,,,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,20/06/2014,194.00,,,,,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,PAVE AWAYS LTD,10/06/2014,"276,844.01",,,,,,,
"Development, Business & Employment",Property & Design,WPWL,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,11/06/2014,"6,300.00",,,,,,,
"Development, Business & Employment",Property & Design,WPWL,Capital Expenditure,Payments to Contractor,TAYLORS MECHANICAL H & P SERVICES LTD,11/06/2014,"4,200.00",,,,,,,
"Development, Business & Employment",Property & Design,WXHS,Capital Expenditure,Payments to Contractor,GROUND INVESTIGATION & PILING LTD,25/06/2014,525.00,,,,,,,
"Development, Business & Employment",Property & Design,WXTB,Capital Expenditure,Payments to Contractor,PYRAMID SCHOOLS (HADLEY) LTD,25/06/2014,"5,244.39",,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/06/2014,"3,500.00",,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,13/06/2014,"2,500.00",,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Marketing / Advertising,3S PRINT & DISPLAY LIMITED,25/06/2014,490.00,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Marketing / Advertising,3S PRINT & DISPLAY LIMITED,25/06/2014,220.00,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,26/06/2014,150.00,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/06/2014,948.00,,,,,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/06/2014,"2,252.50",,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Other Capital Expenditure,JONES & HAMPTON LTD,06/06/2014,"1,269.11",,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,VPS (UK) LTD,06/06/2014,163.84,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,SEVERN TRENT WATER LTD,06/06/2014,129.68,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,SEVERN TRENT WATER LTD,06/06/2014,280.93,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,External Professional Fees,Synergy Property Services Ltd,06/06/2014,195.00,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Site Purchase,Homes and Communities Agency,06/06/2014,"1,340.00",,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,3S PRINT & DISPLAY LIMITED,20/06/2014,179.00,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Other Capital Expenditure,VPS (UK) LTD,26/06/2014,163.84,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,SEVERN TRENT WATER LTD,25/06/2014,389.31,,,,,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Building Payments - Excluding Fees,SEVERN TRENT WATER LTD,18/06/2014,177.02,,,,,,,
"Development, Business & Employment",Property Investment,WGNE,Capital Expenditure,External Professional Fees,Redman Heenan Properties Ltd,05/06/2014,"1,000.00",,,,,,,
"Development, Business & Employment",Property Investment,WGNE,Capital Expenditure,External Professional Fees,Redman Heenan Properties Ltd,05/06/2014,"12,500.00",,,,,,,
"Development, Business & Employment",Property Investment,WGNE,Capital Expenditure,External Professional Fees,PHIL JONES ASSOCIATES LTD,05/06/2014,735.00,,,,,,,
"Development, Business & Employment",Property Investment,WGNE,Capital Expenditure,External Professional Fees,PHIL JONES ASSOCIATES LTD,05/06/2014,"1,365.00",,,,,,,
"Development, Business & Employment",Property Investment,WGNE,Capital Expenditure,External Professional Fees,Redman Heenan Properties Ltd,09/06/2014,"1,500.00",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Lift Maintenance,SCHINDLER LTD,02/06/2014,595.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),30/06/2014,376.68,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,17/06/2014,"1,455.13",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Grounds Maintenance - L&CS,MAINSTAY PAYMENTS LTD,17/06/2014,"3,736.22",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Lift Maintenance,SCHINDLER LTD,17/06/2014,354.62,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,09/06/2014,"5,395.02",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Lift Maintenance,SCHINDLER LTD,09/06/2014,"3,633.63",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,25/06/2014,"2,268.89",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,16/06/2014,310.08,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),30/06/2014,"1,916.32",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2014,819.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2014,480.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2014,999.62,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,18/06/2014,257.90,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,ASLES (TOOL HIRE & SALES) LTD,18/06/2014,288.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,718.30,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,532.63,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,356.42,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,241.97,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,518.53,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,18/06/2014,509.77,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,18/06/2014,142.15,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,R&M -Building Other,ASLES (TOOL HIRE & SALES) LTD,18/06/2014,111.50,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,18/06/2014,"1,680.04",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,18/06/2014,"1,610.70",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/06/2014,"1,980.40",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,MIDLAND TML,25/06/2014,519.86,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Bulk Refuse Contracts Hire,FCC RECYCLING (UK) LIMITED,18/06/2014,844.35,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Bulk Refuse Contracts Hire,FCC RECYCLING (UK) LIMITED,18/06/2014,232.75,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Bulk Refuse Contracts Hire,FCC RECYCLING (UK) LIMITED,23/06/2014,274.30,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,NPOWER LIMITED,02/06/2014,324.87,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,NPOWER LIMITED,02/06/2014,228.81,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Gas,NPOWER BUSINESS AND SOCIAL HOUSING LTD,05/06/2014,-418.67,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,06/06/2014,411.12,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,06/06/2014,439.22,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,WREKIN DRAIN SERVICES LTD,04/06/2014,"-2,866.39",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2014,"3,402.00",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,27/06/2014,"2,059.16",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,PRYCE (BUILDERS) LTD,27/06/2014,605.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,25/06/2014,245.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,LOCSAFE SECURITY SYSTEMS,20/06/2014,793.15,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,WINDOW & DOOR CONTRACT SERVICES,18/06/2014,399.58,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,18/06/2014,545.93,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,18/06/2014,996.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,18/06/2014,217.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Fire Alarms & Emergency Light,ADT FIRE & SECURITY PLC,18/06/2014,100.27,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,16/06/2014,142.05,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),16/06/2014,387.44,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Planned Repairs,West Mercia Energy (WME),16/06/2014,114.83,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Insurance Loss Over 250,JONES & HAMPTON LTD,17/06/2014,"1,782.00",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,19/06/2014,157.50,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JCE & SONS LTD,18/06/2014,"2,087.00",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,18/06/2014,108.56,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC F1925,09/06/2014,224.73,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,24/06/2014,-100.27,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,24/06/2014,160.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,09/06/2014,"1,500.00",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,09/06/2014,"5,668.87",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,09/06/2014,"10,525.00",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,09/06/2014,"33,724.58",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAJ,Third Party Payments,Voluntary Bodies,SEVERN GORGE COUNTRYSIDE TRUST,18/06/2014,"74,033.38",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP LTD,06/06/2014,252.99,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Lift Maintenance,Lift Source (UK) Limited,06/06/2014,150.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Planned Repairs,PP ELECTRICAL SERVICES (Shropshire) Ltd,03/06/2014,400.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,NPOWER LIMITED,30/06/2014,"2,072.23",,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Contract Cleaning,VEOLIA ES (UK) LTD,30/06/2014,360.30,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,25/06/2014,485.00,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Planned Repairs,BRITISH GAS BUSINESS ELEC ,26/06/2014,657.22,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,26/06/2014,538.03,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,16/06/2014,258.60,,,,,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Grounds Maintenance - L&CS,R M F LANDSCAPING LTD,16/06/2014,392.62,,,,,,,
