Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,28/01/2014,364.07,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,28/01/2014,381.12,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ARJOHUNTLEIGH UK,13/01/2014,223.44,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,13/01/2014,677,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,13/01/2014,677,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/01/2014,507.93,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,07/01/2014,670.32,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,07/01/2014,339.96,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,07/01/2014,160,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,07/01/2014,101.2,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Protec Fire Detection PLC,07/01/2014,161.66,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,07/01/2014,916.73,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,WATERCLEAN SERVICES LTD,08/01/2014,160,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/01/2014,725,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS ELEC,08/01/2014,137.66,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),08/01/2014,1567.46,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),08/01/2014,2820.45,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,08/01/2014,283.72,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,08/01/2014,610.72,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/01/2014,127.2,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/01/2014,333.6,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,08/01/2014,174.15,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,HORTON AUTOMATICS LTD,08/01/2014,170,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,HANOVIA LIMITED,08/01/2014,1054.65,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Planned Repairs,CHUBB FIRE & SECURITY LTD,08/01/2014,547.98,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,08/01/2014,245,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,General Rents,MARSTON'S PUBS LIMITED,08/01/2014,2225,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),08/01/2014,860.68,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,08/01/2014,925.01,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,08/01/2014,1080.51,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,08/01/2014,-251.25,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,08/01/2014,486.75,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,08/01/2014,436.04,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,WATERCLEAN SERVICES LTD,08/01/2014,300,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,08/01/2014,2113.72,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,PROKILL UK LIMITED,08/01/2014,185,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,Lakeside Academy,08/01/2014,1122.29,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,Lakeside Academy,08/01/2014,414,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,Lakeside Academy,08/01/2014,589.93,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,DUDLEY'S GLASS (TELFORD) LTD,10/01/2014,169.3,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,10/01/2014,361.96,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,10/01/2014,427.62,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,Lakeside Academy,09/01/2014,177.72,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,Lakeside Academy,09/01/2014,196.37,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,10/01/2014,681.48,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,10/01/2014,595,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,13/01/2014,637.41,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,CLEANIT CLEANING SERVICES,13/01/2014,677,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Leasehold Rents,MARSTON'S PUBS LIMITED,13/01/2014,2225,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,KRYSTAL HYGIENE LIMITED,09/01/2014,107.28,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,22/01/2014,1604.43,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,9208.41,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,761.69,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,1526.64,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,224.37,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,585.04,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,4176.06,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,975.9,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,705.86,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,1766.74,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,1225.25,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,2071.41,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,187.77,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,509.67,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,572.06,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,681.92,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,2542.25,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,2037.61,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,174.33,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,181.62,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,191.36,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,662.7,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,272.65,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,1199.27,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,417.93,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,-454.49,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,663.76,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,989.46,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,231.19,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,3793.19,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,3770.39,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,1986.36,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,222.86,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,508.66,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,161.78,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,437.51,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,678.7,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,474.04,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),17/01/2014,666.96,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,-2839.08,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,288.8,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,3068.14,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,286.51,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,2518.05,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,525.1,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,544.44,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,677.51,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,334.29,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,291.67,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),17/01/2014,756.66,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),17/01/2014,-727.1,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/01/2014,367.29,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/01/2014,240.53,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Celsius Design Limited,16/01/2014,385,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,17/01/2014,678.63,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,HORTON AUTOMATICS LTD,17/01/2014,120,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,17/01/2014,879.45,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,16/01/2014,138,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/01/2014,143.09,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/01/2014,176.78,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,16/01/2014,201.4,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M - Electrical,ERIC NEVILLE CATERING SUPPLIES LTD,16/01/2014,180.15,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,16/01/2014,169.09,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,16/01/2014,215,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP LTD,16/01/2014,173.36,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,16/01/2014,188.76,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ADT FIRE & SECURITY PLC,16/01/2014,130,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,16/01/2014,138,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/01/2014,270,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/01/2014,155,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/01/2014,120,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/01/2014,124.8,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/01/2014,114.82,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,16/01/2014,167.14,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,16/01/2014,2010,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP LTD,16/01/2014,559.23,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,16/01/2014,1541.4,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,16/01/2014,3473.13,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,OCEAN CONTRACT CLEANING LTD,16/01/2014,3321.46,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES (TOOL HIRE & SALES) LTD,16/01/2014,139,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ASLES (TOOL HIRE & SALES) LTD,16/01/2014,554,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),16/01/2014,131.56,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),16/01/2014,2225.84,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),16/01/2014,246.9,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,16/01/2014,111.24,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,HCL SAFETY LTD,16/01/2014,215,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,CONCEPT ELEVATORS (MIDLANDS) LIMITED,16/01/2014,135,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,16/01/2014,6175.15,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,HOOD AIRPORT & ICE LTD,31/01/2014,2100,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,175,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,PHS GROUP LTD,31/01/2014,731.42,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,31/01/2014,131.71,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,CONCEPT ELEVATORS (MIDLANDS) LIMITED,31/01/2014,375,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Protec Fire Detection PLC,31/01/2014,155.38,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,3639.84,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,31/01/2014,294.91,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,21/01/2014,429.78,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,21/01/2014,163.74,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,21/01/2014,488.97,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,21/01/2014,138.42,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,21/01/2014,284.12,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,21/01/2014,255.09,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Automated Building Controls Limited,21/01/2014,869.45,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,21/01/2014,271.22,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,KRYSTAL HYGIENE LIMITED,21/01/2014,242.68,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,23/01/2014,169.91,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,840.33,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),28/01/2014,652.76,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,652.02,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,11735.44,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/01/2014,275.14,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,299.5,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,642.27,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,663.68,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),28/01/2014,264.12,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),28/01/2014,650.04,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Fuel Oil,West Mercia Energy (WME),28/01/2014,646.95,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BUDGET GAS LTD,28/01/2014,237.68,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,329.72,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,218.52,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,210.97,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,185.22,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,241.14,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,175.13,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,FCC RECYCLING (UK) LIMITED,31/01/2014,370,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,CHUBB FIRE & SECURITY LTD,31/01/2014,246.21,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,RCS ROOFING CONSTRUCTION SERVICES LTD,31/01/2014,158.86,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,182,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/01/2014,158.59,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,J R SLEE BUILDERS,29/01/2014,231.58,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,GRA-BERN,29/01/2014,135.2,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Gas,BRITISH GAS BUSINESS (GU45 1AW),29/01/2014,683.18,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Electricity,BRITISH GAS BUSINESS ELEC,29/01/2014,104.24,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,Hall & Kay Fire Engineering,23/01/2014,385.75,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,23/01/2014,172,,,,,,
"Development, Business & Housing",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PP ELECTRICAL SERVICES (Shropshire) Ltd,23/01/2014,103.2,,,,,,
