Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PPF Servicing Ltd,20/10/2014,2199.4,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PTSG ACCESS AND SAFETY LTD,01/10/2014,495,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PTSG ACCESS AND SAFETY LTD,01/10/2014,245,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,PTSG ACCESS AND SAFETY LTD,01/10/2014,500,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,01/10/2014,170,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,06/10/2014,120.00,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,29/10/2014,150,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,WESSEX LIFT CO. LTD,17/10/2014,275,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,09/10/2014,141.82,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,07/10/2014,140.7,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,07/10/2014,262.61,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,28/10/2014,1011.21,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,28/10/2014,102.81,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,FCC Environment Services (UK) Ltd (06184774),03/10/2014,672.42,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,VEOLIA ES (UK) LTD,01/10/2014,102.4,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,03/10/2014,283.17,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,20/10/2014,139.99,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,01/10/2014,1398.06,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,20/10/2014,435.39,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,07/10/2014,4273.54,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,20/10/2014,1248.14,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,23/10/2014,1062.48,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,23/10/2014,221.79,,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,24/10/2014,651.1,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Chemicals/Cleaning Products,PROVAC CLEANING SUPPLIES LTD,02/10/2014,321.47,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Chemicals/Cleaning Products,PROVAC CLEANING SUPPLIES LTD,28/10/2014,255.76,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Equipment - Purchase,SEVERN TRENT WATER LTD,28/10/2014,1894.02,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,14/10/2014,346.52,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,14/10/2014,592.6,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,20/10/2014,-105,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,14/10/2014,255,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,29/10/2014,255,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,14/10/2014,255,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,20/10/2014,255,,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,20/10/2014,255,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/10/2014,108.2,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),01/10/2014,179.92,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),02/10/2014,-311.99,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,1014.17,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,1606.34,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CHRIS BREEZE LTD,16/10/2014,101.5,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CHRIS BREEZE LTD,31/10/2014,101.5,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CLEANIT CLEANING SERVICES,31/10/2014,151.66,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,CLEANIT CLEANING SERVICES,06/10/2014,151.66,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,08/10/2014,222.25,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,08/10/2014,487.86,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,08/10/2014,195.02,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,10/10/2014,179.96,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,14/10/2014,180.6,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,15/10/2014,2083.64,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Sewage Charges,SEVERN TRENT WATER LTD,06/10/2014,1091.59,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,27/10/2014,1118.65,,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,28/10/2014,3810.52,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,08/10/2014,897.22,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,ADT FIRE & SECURITY PLC,08/10/2014,4612.9,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,CHART INST PUBLIC FINANCE & ACCOUNTANCY,02/10/2014,1395,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,Lift Source (UK) Limited,01/10/2014,6180,,,
"Development, Business & Employment",Property & Design,WCBA,Capital Expenditure,Payments to Contractor,,30/10/2014,832.5,,,
"Development, Business & Employment",Property & Design,WFAS,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/10/2014,2000,,,
"Development, Business & Employment",Property & Design,WFAS,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/10/2014,3987,,,
"Development, Business & Employment",Property & Design,WFBF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,08/10/2014,850,,,
"Development, Business & Employment",Property & Design,WFBF,Capital Expenditure,Payments to Contractor,FORD-MAINWARING LIMITED,08/10/2014,1226.38,,,
"Development, Business & Employment",Property & Design,WFBF,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,09/10/2014,-89898.18,,,
"Development, Business & Employment",Property & Design,WFBF,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,09/10/2014,10195,,,
"Development, Business & Employment",Property & Design,WFBF,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,09/10/2014,79703.18,,,
"Development, Business & Employment",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,OLIVEJOYCE LTD,14/10/2014,1610,,,
"Development, Business & Employment",Property & Design,WFBH,Capital Expenditure,Payments to Contractor,OLIVEJOYCE LTD,30/10/2014,1360,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,INCLUSIVE TECHNOLOGY LTD,23/10/2014,109,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,INCLUSIVE TECHNOLOGY LTD,23/10/2014,249,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,INCLUSIVE TECHNOLOGY LTD,23/10/2014,233,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Fixtures & Fittings & Equipment,,27/10/2014,805,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Other Capital Expenditure,The Helping Hand Company,30/10/2014,464,,,
"Development, Business & Employment",Property & Design,WGBS,Capital Expenditure,Other Capital Expenditure,,23/10/2014,106.25,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,09/10/2014,175,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,08/10/2014,225,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,01/10/2014,3775,,,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,WELLINGTON INSULATION CO. LTD,01/10/2014,3775,,,
"Development, Business & Employment",Property & Design,WINE,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,14/10/2014,2437.5,,,
"Development, Business & Employment",Property & Design,WPAD,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,16/10/2014,29516.25,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,14/10/2014,220,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,14/10/2014,495,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,14/10/2014,336.32,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,17/10/2014,387216.36,,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,16/10/2014,387216.36,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,GRANT THORNTON UK LLP,08/10/2014,1700,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,08/10/2014,768.07,,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,Legal Fees,THE COAL AUTHORITY,15/10/2014,247.5,,,
"Development, Business & Employment",Property & Design,WPJF,Capital Expenditure,Payments to Contractor,GENERAL ASPHALTE COMPANY LIMITED,01/10/2014,82002.18,,,
"Development, Business & Employment",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/10/2014,5651.7,,,
"Development, Business & Employment",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/10/2014,3560,,,
"Development, Business & Employment",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,14/10/2014,211.74,,,
"Development, Business & Employment",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/10/2014,500,,,
"Development, Business & Employment",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/10/2014,589,,,
"Development, Business & Employment",Property & Design,WPLG,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,14/10/2014,300,,,
"Development, Business & Employment",Property & Design,WPLL,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,17/10/2014,1905.2,,,
"Development, Business & Employment",Property & Design,WPLL,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,14/10/2014,200,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,01/10/2014,156539.94,,,
"Development, Business & Employment",Property & Design,WPMD,Capital Expenditure,Payments to Contractor,INTERCLASS PLC,02/10/2014,159027.96,,,
"Development, Business & Employment",Property & Design,WPND,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,14/10/2014,495,,,
"Development, Business & Employment",Property & Design,WPNE,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,01/10/2014,3340,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,CYRIL ORCHARD MANAGEMENT LTD,14/10/2014,165,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,KRM CONTRACTORS LTD,30/10/2014,26383,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/10/2014,780,,,
"Development, Business & Employment",Property & Design,WPTB,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,08/10/2014,4705,,,
"Development, Business & Employment",Property & Design,WUFM,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,16/10/2014,11092,,,
"Development, Business & Employment",Property & Design,WUFM,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,16/10/2014,12285,,,
"Development, Business & Employment",Property & Design,WUFM,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,16/10/2014,11927,,,
"Development, Business & Employment",Property & Design,WUFM,Capital Expenditure,Payments to Contractor,ERIC NEVILLE CATERING SUPPLIES LTD,24/10/2014,10559.45,,,
"Development, Business & Employment",Property & Design,WXHS,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,14/10/2014,2437.5,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Land Purchase,AON LTD,28/10/2014,250,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,07/10/2014,72129.9,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,PP ELECTRICAL SERVICES (Shropshire) Ltd,07/10/2014,2350,,,
"Development, Business & Employment",Property Investment,WCAJ,Capital Expenditure,Payments to Contractor,THOMAS CONSULTING,15/10/2014,315,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,External Professional Fees,RPS DESIGN LTD,20/10/2014,11158.15,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Other Capital Expenditure,VPS (UK) LTD,15/10/2014,163.84,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,Browne Jacobson LLP,29/10/2014,1090.6,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,07/10/2014,522,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/10/2014,429,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/10/2014,380,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/10/2014,1120,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,VPS (UK) LTD,28/10/2014,204.8,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Payments to Contractor,West Mercia Energy (WME),20/10/2014,287.24,,,
"Development, Business & Employment",Property Investment,WCSP,Capital Expenditure,Site Investigation,Redacted Personal Information,31/10/2014,673,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Clean Mats & Toilet Requisites,INITIAL WASHROOM SOLUTIONS,23/10/2014,1121.36,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),13/10/2014,451.94,,,
"Development, Business & Employment",Regeneration & Investment,CEAC,Premises-Related Expenditure,R&M -Buildings DLO Charge,EVAC+CHAIR INTERNATIONAL LTD,23/10/2014,145,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,Dilapidations,JOHNSON FELLOWS,07/10/2014,1500,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),28/10/2014,1519.8,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,Gas,TOTAL GAS & POWER LIMITED,20/10/2014,567.92,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Premises-Related Expenditure,R&M -Building Other,COFELY LIMITED,02/10/2014,1838.36,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,20/10/2014,2291.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAD,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,20/10/2014,310.08,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,469.69,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,275.44,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,278.53,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,732.85,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,491.8,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,15/10/2014,330,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Postages,FREELANCE BUSINESS ASSOCIATES,15/10/2014,330,,,
"Development, Business & Employment",Regeneration & Investment,CEAE,Supplies & Services,Telephones,MIDLAND TML,28/10/2014,634.07,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Building Cleaning DSO,VEOLIA ES (UK) LTD,21/10/2014,180.06,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/10/2014,500,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,23/10/2014,924.21,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,30/10/2014,6380,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,30/10/2014,20460,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Dilapidations,Hudsons (TMS) Limited,02/10/2014,3120,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),08/10/2014,-763.37,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-569.26,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-740.03,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-675.26,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-101.55,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-176.62,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-544.71,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-813.33,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),07/10/2014,-691.93,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),14/10/2014,227.82,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Grounds Maintenance - L&CS,Limetree Landscape Services and Nurseries Limited,07/10/2014,700,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Grounds Maintenance - L&CS,Limetree Landscape Services and Nurseries Limited,07/10/2014,700,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Grounds Maintenance - L&CS,VPS (UK) LTD,28/10/2014,102.4,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Grounds Maintenance - Wood,COSTAR UK,03/10/2014,2749.76,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Planned Repairs,BRITISH GAS BUSINESS ELEC (502015),03/10/2014,268.52,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,DOOR LOADING SERVICES UK LTD,03/10/2014,2700,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GO PLANT SWEEPERS T/A SHROPSHIRE ROADSWEEPERS,15/10/2014,250,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,28/10/2014,195.47,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRA-BERN,28/10/2014,182.86,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,03/10/2014,978,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,13/10/2014,280.9,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,LOCSAFE SECURITY SYSTEMS,15/10/2014,198,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,RCS ROOFING CONSTRUCTION SERVICES LTD,07/10/2014,2031,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,RCS ROOFING CONSTRUCTION SERVICES LTD,07/10/2014,1160,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,RCS ROOFING CONSTRUCTION SERVICES LTD,20/10/2014,154.2,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,RCS ROOFING CONSTRUCTION SERVICES LTD,28/10/2014,1158,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,RCS ROOFING CONSTRUCTION SERVICES LTD,28/10/2014,545,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,The Platform Lift Comany Ltd,16/10/2014,15171,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,R&M -Building Other,The Platform Lift Comany Ltd,16/10/2014,18963.75,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,07/10/2014,172.04,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,21/10/2014,139.99,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,20/10/2014,139.99,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,17/10/2014,545,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Advertising,3S PRINT & DISPLAY LIMITED,28/10/2014,425,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Consultants Fees,PELL FRISCHMANN,20/10/2014,5000,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Legal Expenses,ROSSENDALES LTD,29/10/2014,434.8,,,
"Development, Business & Employment",Regeneration & Investment,CEAH,Supplies & Services,Payment Of Income Collected,HSBC EQUIPMENT FINANCE (UK) LIMITED,07/10/2014,33724.58,,,
"Development, Business & Employment",Regeneration & Investment,CEAJ,Third Party Payments,Voluntary Bodies,SEVERN GORGE COUNTRYSIDE TRUST,01/10/2014,51967.68,,,
"Development, Business & Employment",Regeneration & Investment,CEAL,Employees,Professional Subs,RICS BUSINESS SERVICES,30/10/2014,350,,,
"Development, Business & Employment",Regeneration & Investment,CEAL,Supplies & Services,Application Software Maint,CONCERTO SUPPORT SERVICES LTD,31/10/2014,2000,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,BUSY BEE CLEANING,07/10/2014,104,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,BUSY BEE CLEANING,07/10/2014,166,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Building Cleaning DSO,BUSY BEE CLEANING,07/10/2014,187,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,07/10/2014,183,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Contract Cleaning,BUSY BEE CLEANING,07/10/2014,198.95,,,
"Development, Business & Employment",Regeneration & Investment,CEAN,Premises-Related Expenditure,Electricity,NPOWER LIMITED,21/10/2014,2072.27,,,
