Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,31/12/2014,198.76,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,09/12/2014,107.38,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,George Birchall Limited,17/12/2014,"1,199.24",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,31/12/2014,108.47,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,11/12/2014,519.10,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,11/12/2014,240.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,11/12/2014,589.60,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,11/12/2014,190.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,29/12/2014,184.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,01/12/2014,105.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,01/12/2014,151.99,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,03/12/2014,430.54,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,George Birchall Limited,03/12/2014,122.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Contributions to Premises-related Provisions,HUWS GRAY LTD,12/12/2014,117.56,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,ICAX LTD,04/12/2014,"4,792.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,J.A.K. WATER SYSTEMS LTD,17/12/2014,"1,687.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,J.A.K. WATER SYSTEMS LTD,04/12/2014,480.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,J.A.K. WATER SYSTEMS LTD,11/12/2014,183.33,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,150.72,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,176.88,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,350.31,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,106.34,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,117.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,196.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,431.52,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,120.34,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JCE & SONS LTD,29/12/2014,153.90,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,JCE & SONS LTD,09/12/2014,406.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,11/12/2014,208.01,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,JONES & HAMPTON LTD,11/12/2014,326.55,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Lift Source (UK) Limited,29/12/2014,270.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,Lightspeed Electrics,23/12/2014,215.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,MAIN MAN SUPPLIES LTD,31/12/2014,115.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,19/12/2014,438.70,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,19/12/2014,188.02,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,MIDLANDS WOOD FUEL SUPPLY LTD,01/12/2014,315.69,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,OCEAN CONTRACT CLEANING LTD,03/12/2014,"3,321.46",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,P & W MAINTENANCE CONTRACTING LTD,29/12/2014,"2,580.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,19/12/2014,198.34,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,19/12/2014,100.89,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,29/12/2014,327.34,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Swimming Pool Chemicals,PHS GROUP LTD,19/12/2014,190.04,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/12/2014,"3,370.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/12/2014,395.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/12/2014,150.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/12/2014,408.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,11/12/2014,152.17,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/12/2014,112.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PP ELECTRICAL SERVICES (Shropshire) Ltd,31/12/2014,103.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PROKILL UK LIMITED,09/12/2014,130.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PRYCE (BUILDERS) LTD,11/12/2014,248.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,PTSG ACCESS AND SAFETY LTD,17/12/2014,275.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SAXON LIFTS LTD,17/12/2014,611.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,09/12/2014,115.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,29/12/2014,470.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,17/12/2014,180.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,12/12/2014,278.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,17/12/2014,150.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,17/12/2014,455.87,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,31/12/2014,434.38,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,31/12/2014,185.41,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,19/12/2014,173.56,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,SEVERN TRENT WATER LTD,11/12/2014,"1,444.17",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,19/12/2014,243.41,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,31/12/2014,353.68,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,03/12/2014,315.92,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,03/12/2014,740.16,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,03/12/2014,142.73,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,Sorption Wheel Services Ltd T/A Dehum UK,11/12/2014,691.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,STIRCHLEY & BROOKSIDE PARISH COUNCIL,17/12/2014,"3,047.14",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,TAYLORS MECHANICAL H & P SERVICES LTD,29/12/2014,512.57,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Contract Cleaning,TELFORD & WREKIN SERVICES LTD,04/12/2014,"30,000.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Grounds Maintenance - L&CS,TELFORD & WREKIN SERVICES LTD,01/12/2014,250.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Service Contracts,Total Access (UK) Ltd,03/12/2014,694.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,General Rents,TYNETEC Ltd,16/12/2014,188.45,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,General Rents,TYNETEC Ltd,16/12/2014,409.60,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Trade Refuse,VEOLIA ES (UK) LTD,01/12/2014,102.40,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WESSEX LIFT CO. LTD,03/12/2014,132.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"4,047.30",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"6,057.89",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"2,051.61",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,278.86,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,738.46,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,868.34,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,817.42,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,808.03,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"1,030.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,522.01,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"2,422.10",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,467.63,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,372.18,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,441.47,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"3,601.33",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-286.73,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"1,019.28",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,547.49,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-338.50,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-494.52,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,421.08,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,385.98,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,910.08,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,244.45,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,284.96,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,293.18,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-562.13,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"9,525.37",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"1,363.26",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"7,129.92",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,761.53,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,423.51,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,553.11,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,213.48,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,451.02,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,182.79,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,213.32,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,494.52,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"1,441.60",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,105.54,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,473.71,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-504.07,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-348.08,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,765.81,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,364.07,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-503.15,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,192.74,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-322.67,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-173.69,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"4,154.02",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,-902.01,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"1,448.42",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,600.75,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"-1,893.00",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,154.41,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,216.23,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),09/12/2014,178.22,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),09/12/2014,195.10,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),09/12/2014,-458.52,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),09/12/2014,328.45,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,971.15,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,215.69,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,143.83,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,116.55,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,287.71,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"1,237.26",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,198.35,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,555.67,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,435.27,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,308.73,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"3,827.59",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,429.17,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"1,695.91",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,224.15,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"9,043.59",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"3,072.50",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"1,070.16",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,413.71,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,514.23,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,"3,664.56",,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,121.75,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,377.37,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,230.52,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,179.98,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,417.06,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,153.23,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,443.64,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,642.60,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Gas,West Mercia Energy (WME),12/12/2014,275.40,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,Contributions to Premises-related Provisions,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),11/12/2014,505.69,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,29/12/2014,170.00,,
"Development, Business & Employment",Property & Design,COAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,30/12/2014,400.00,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,17/12/2014,592.60,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,19/12/2014,346.52,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,11/12/2014,106.35,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,DTZ CLIENT ACC RE:COMMON RECEIPTS NAT,09/12/2014,"4,500.00",,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Equipment - Purchase,FCC Recycling (UK) Ltd ,23/12/2014,641.82,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,09/12/2014,255.00,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Security Services,LEISURE SEC PLC,09/12/2014,255.00,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Chemicals/Cleaning Products,PROVAC CLEANING SUPPLIES LTD,10/12/2014,555.92,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Equipment - Repair,SECURITY WISE LTD,16/12/2014,637.00,,
"Development, Business & Employment",Property & Design,COAP,Supplies & Services,Television Licenses,TV LICENSING,04/12/2014,145.50,,
"Development, Business & Employment",Property & Design,COAP,Third Party Payments,Supporting People Expenditure,FCC Recycling (UK) Ltd ,17/12/2014,125.19,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,George Birchall Limited,09/12/2014,143.30,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,REDACTED PERSONAL INFORMATION,29/12/2014,"1,050.00",,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,R&M -Building Other,SEAN BYRNE,18/12/2014,165.00,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,31/12/2014,"1,075.73",,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Water Rates,SEVERN TRENT WATER LTD,11/12/2014,"1,109.64",,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,STEPHEN P WALES LTD,11/12/2014,127.26,,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"1,953.25",,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,"2,280.04",,
"Development, Business & Employment",Property & Design,COAT,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2014,191.26,,
"Development, Business & Employment",Property & Design,COAT,Transport-Related Expenditure,District Council Plant,SEVERN TRENT WATER LTD,02/12/2014,"1,109.64",,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/12/2014,"2,000.00",,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,04/12/2014,"5,139.69",,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2014,"4,216.00",,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2014,"29,002.77",,
"Development, Business & Employment",Property & Design,WCAY,Capital Expenditure,Payments to Contractor,SIGNS EXPRESS (TELFORD),04/12/2014,"2,498.00",,
"Development, Business & Employment",Property & Design,WGCF,Capital Expenditure,Payments to Contractor,DMW ENVIRONMENTAL SAFETY LTD,15/12/2014,175.00,,
"Development, Business & Employment",Property & Design,WPCW,Capital Expenditure,Payments to Contractor,Middlemarch Environmental,18/12/2014,"1,300.00",,
"Development, Business & Employment",Property & Design,WPGP,Capital Expenditure,Payments to Contractor,JONES & HAMPTON LTD,09/12/2014,"2,851.50",,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,23/12/2014,"1,593.60",,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,23/12/2014,909.47,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,23/12/2014,117.25,,
"Development, Business & Employment",Property & Design,WPIR,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,23/12/2014,782.02,,
