Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,28/06/2018,334
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,28/06/2018,334
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,28/06/2018,334
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,11/06/2018,176.71
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,HARRIS GARAGES LTD,18/06/2018,176.71
Commercial Services,Sport & Leisure,Employees,Staff Training,INSTITUTE OF SWIMMING,06/06/2018,680
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Water Rates,IMAGE@WORK LTD,07/06/2018,362.4
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,13/06/2018,697.16
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,13/06/2018,"1,715.38"
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,27/06/2018,"1,746.18"
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,27/06/2018,689.49
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,29/06/2018,693.41
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,29/06/2018,"1,733.94"
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,07/06/2018,"1,724.94"
Commercial Services,Sport & Leisure,Supplies & Services,EEC Whole Milk,JOHAL DAIRIES,07/06/2018,690.08
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Transport Contractors,LONGMYND TRAVEL LTD,18/06/2018,580
Commercial Services,Sport & Leisure,Supplies & Services,Sub Contractors,METRIC GROUP LTD,01/06/2018,127.13
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,NATIONAL ICE SKATING ASSOCIATION,27/06/2018,783.2
Commercial Services,Sport & Leisure,Supplies & Services,Mobile Phones,EE LTD EQUIPMENT ,18/06/2018,-690
Commercial Services,Sport & Leisure,Third Party Payments,Contribution To Other La's,PS PROMOTIONS LTD,05/06/2018,480
Commercial Services,Sport & Leisure,Supplies & Services,Holidays & Outings,PLANGLOW LTD,21/06/2018,109.93
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Vehicle Parts,PRIORSLEE MOTOR SERVICES LTD,20/06/2018,278.28
Commercial Services,Sport & Leisure,Supplies & Services,Holidays & Outings,PASTA KING (UK) LIMITED,01/06/2018,159.95
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,01/06/2018,210
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,01/06/2018,180
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,01/06/2018,180
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,01/06/2018,176
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,13/06/2018,240
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,20/06/2018,254
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,20/06/2018,206
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,PASTA KING (UK) LIMITED,20/06/2018,180
Commercial Services,Sport & Leisure,Supplies & Services,Health & Safety Expenses,QUALSAFE.COM,21/06/2018,165
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,20/06/2018,171.28
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,102.95
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,109.86
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,122.23
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,112.64
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,118.91
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,113.47
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,105.71
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,112.32
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,147.61
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,103.74
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,118.84
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,199.75
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,215.67
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,137.8
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,183.59
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,124.76
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,246.78
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,135.21
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,139.58
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,143.12
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,107.03
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,192.67
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,182.81
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,104.21
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,186.51
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,116.15
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,151.16
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,157.55
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,147.02
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,19/06/2018,181.81
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,245.15
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,137.54
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,106.2
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,119.42
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,194.23
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,112.9
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,169.91
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,106.12
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,109.28
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,116.92
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,111.72
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,04/06/2018,139.98
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,100.67
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,209.59
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,171.49
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,264.94
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,176.58
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,117.93
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,192.6
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,108.78
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,126.47
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,111.24
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,121.01
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,122.44
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,146.97
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,131.94
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,112.09
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,132.77
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,196.09
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,138.61
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,119.14
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,227.87
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,107.05
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,104.23
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,113.69
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,180.37
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,108.92
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,108.83
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,112.07
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,132.93
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,101.62
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,12/06/2018,132.2
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,234.03
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,121.88
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,112.56
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,126.82
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,128.74
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,105.88
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,101.98
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,101.37
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,177.26
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,113.09
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,106.95
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,166.78
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,138.86
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,150.54
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,183.2
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,115.33
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,137.78
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,ROWLANDS & COMPANY,25/06/2018,142.36
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,Lifesavers Direct,13/06/2018,131.25
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Lifesavers Direct,11/06/2018,105.25
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Lifesavers Direct,20/06/2018,242.5
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,01/06/2018,135.02
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,01/06/2018,249.02
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,13/06/2018,121.8
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,13/06/2018,166.82
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,13/06/2018,199.41
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,13/06/2018,258.91
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,13/06/2018,191.16
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,20/06/2018,174.76
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,20/06/2018,210.9
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,RADNOR HILLS MINERAL WATER COMPANY LTD,20/06/2018,166.32
Commercial Services,Sport & Leisure,Supplies & Services,Other Materials,SECURITY WISE LTD,06/06/2018,145
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,22/06/2018,396.78
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,26/06/2018,102.52
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,12/06/2018,176.88
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,SWIMRITE SUPPLIES LIMITED,19/06/2018,"1,366.19"
Commercial Services,Sport & Leisure,Supplies & Services,Other Materials,SWIMRITE SUPPLIES LIMITED,14/06/2018,475
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,SPS LLP,25/06/2018,178.09
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,SPS LLP,14/06/2018,128.3
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,SLIDERS SKATE SHOP,27/06/2018,308
Commercial Services,Sport & Leisure,Supplies & Services,Protective Clothing,STITCHES OF BRIDGNORTH,27/06/2018,450
Commercial Services,Sport & Leisure,Supplies & Services,First Aid,SP SERVICES (UK) LTD,20/06/2018,178.65
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,TROPICAL ICE,01/06/2018,175
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,TROPICAL ICE,01/06/2018,305
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,TROPICAL ICE,01/06/2018,"1,022.00"
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,TROPICAL ICE,20/06/2018,867
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,20/06/2018,185.98
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,21/06/2018,201.88
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,21/06/2018,401
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,13/06/2018,384.2
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,13/06/2018,277.28
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,13/06/2018,169.26
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,07/06/2018,184.94
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,01/06/2018,286.6
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,01/06/2018,284.8
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,01/06/2018,156.94
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,13/06/2018,358.28
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,THEOS FOOD SERVICE LTD,13/06/2018,218.5
Commercial Services,Sport & Leisure,Premises-Related Expenditure,R&M -Building Other,UNIVERSAL SERVICES,29/06/2018,"4,542.60"
Commercial Services,Sport & Leisure,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),18/06/2018,108.6
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,WILDES PLANT HIRE LTD,11/06/2018,110
Commercial Services,Sport & Leisure,Supplies & Services,Protective Clothing,Reacted Personal Information,29/06/2018,107.1
Commercial Services,Sport & Leisure,Supplies & Services,Protective Clothing,Reacted Personal Information,19/06/2018,"1,140.86"
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Broxap Ltd,06/06/2018,104
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Broxap Ltd,06/06/2018,"1,617.00"
Commercial Services,Sport & Leisure,Supplies & Services,Printing - Other,ALLWAG PROMOTIONS LTD,21/06/2018,131
Commercial Services,Sport & Leisure,Supplies & Services,Printing - Other,ALLWAG PROMOTIONS LTD,27/06/2018,131
Commercial Services,Sport & Leisure,Supplies & Services,Flex Charges,International POS,25/06/2018,159
Commercial Services,Sport & Leisure,Supplies & Services,Flex Charges,International POS,25/06/2018,119
Commercial Services,Sport & Leisure,Supplies & Services,Instructors Fees,Reacted Personal Information,07/06/2018,"1,100.00"
Commercial Services,Sport & Leisure,Supplies & Services,Instructors Fees,Reacted Personal Information,18/06/2018,330
Commercial Services,Sport & Leisure,Supplies & Services,Other Materials,Ecoprod Technique Ltd,15/06/2018,239.4
Commercial Services,Sport & Leisure,Supplies & Services,Licences,Les Mills Fitness UK Ltd,27/06/2018,268.25
Commercial Services,Sport & Leisure,Supplies & Services,Licences,Les Mills Fitness UK Ltd,11/06/2018,268.25
Commercial Services,Sport & Leisure,Supplies & Services,Licences,Les Mills Fitness UK Ltd,18/06/2018,797.02
Commercial Services,Sport & Leisure,Supplies & Services,Sport Equip - Purchase,Les Mills Fitness UK Ltd,25/06/2018,119.85
Commercial Services,Sport & Leisure,Supplies & Services,Licences,Les Mills Fitness UK Ltd,25/06/2018,689.85
Commercial Services,Sport & Leisure,Supplies & Services,Licences,Les Mills Fitness UK Ltd,25/06/2018,689.85
Commercial Services,Sport & Leisure,Supplies & Services,Licences,Les Mills Fitness UK Ltd,11/06/2018,495.77
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,SAFY IMPEX LTD T/A SPICE TIME,21/06/2018,247.5
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,SAFY IMPEX LTD T/A SPICE TIME,01/06/2018,306.5
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,SAFY IMPEX LTD T/A SPICE TIME,01/06/2018,131.5
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,SAFY IMPEX LTD T/A SPICE TIME,01/06/2018,247.5
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,SAFY IMPEX LTD T/A SPICE TIME,20/06/2018,157.75
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Aroma Tea & Coffee Merchants,01/06/2018,121.3
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Aroma Tea & Coffee Merchants,20/06/2018,132.16
Commercial Services,Sport & Leisure,Employees,Staff Training,Performance Health Systems UK Ltd,19/06/2018,150
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Fuel,Butler Fuels,28/06/2018,"1,001.01"
Commercial Services,Sport & Leisure,Supplies & Services,Holidays & Outings,Vegware,13/06/2018,156.6
Commercial Services,Sport & Leisure,Supplies & Services,Items For Resale,Castell Howell Foods Ltd,18/06/2018,132.16
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,20/06/2018,723.77
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,20/06/2018,117.82
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,11/06/2018,269.16
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,11/06/2018,"1,048.44"
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,11/06/2018,897.02
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,04/06/2018,399.22
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,18/06/2018,395.22
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,18/06/2018,129.36
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,434.74
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,"1,370.70"
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,252.47
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,813.35
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,28/06/2018,908.87
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,28/06/2018,-315.9
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,117.21
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,385.67
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,532.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Castell Howell Foods Ltd,25/06/2018,261.35
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,101.89
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,311.99
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,100.89
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,349.56
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,353.59
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,-119
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,192.72
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,138.43
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,204.24
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,145.36
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,134.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,188.69
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,119
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,128.69
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,107.44
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,187
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,136
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,119.91
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,117.73
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,114.54
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,136.49
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,220
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,166.48
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,244.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,102.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,134.57
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,119
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,205.19
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,-110.69
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,144.83
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,04/06/2018,243.55
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,111.56
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,119.97
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,149.58
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,292.2
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,102
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,12/06/2018,202.99
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,25/06/2018,102
