Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,15/05/2018, 101.26 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 102.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,15/05/2018, 120.37 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,15/05/2018, 105.29 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,15/05/2018, 131.47 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,15/05/2018, 333.43 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,15/05/2018, 138.60 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 156.61 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 109.15 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 131.90 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 187.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 144.50 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 123.32 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 100.80 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 119.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 101.03 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 107.84 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 137.98 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 125.09 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 186.70 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 112.55 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 111.54 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 149.94 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 121.76 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 102.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 132.61 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 331.71 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 176.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 130.15 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 119.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,10/05/2018, 185.79 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 114.92 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 119.59 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 133.20 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 123.17 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 192.63 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 139.48 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 139.27 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 222.70 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 127.49 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 199.40 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 141.51 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,24/05/2018, 277.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 100.07 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 352.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 145.14 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 113.75 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 120.32 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 144.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 128.69 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 123.92 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 107.70 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 155.11 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 427.14 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,John Sheppard Catering Butchers,01/05/2018, 245.49 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),18/05/2018, 344.18 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),29/05/2018, 398.76 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Adelie Foods Limited (FORMERLY BRAMBLES FOODS LTD),10/05/2018, 431.48 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,08/05/2018, 324.39 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,08/05/2018, 146.72 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,08/05/2018, 330.22 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,08/05/2018, 208.32 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,31/05/2018, 223.19 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,18/05/2018, 290.69 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,18/05/2018, 146.72 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,On A Roll,18/05/2018, 208.32 ,
Commercial Services,Sport & Leisure,Supplies & Services,Sub Contractors,Waterplay Solutions Limited,03/05/2018," 4,798.00 ",
Commercial Services,Sport & Leisure,Supplies & Services,Sub Contractors,Waterplay Solutions Limited,30/05/2018, 449.80 ,
Commercial Services,Sport & Leisure,Supplies & Services,Sport Equip - Purchase,Peak UK Kayaking Company Ltd,03/05/2018," 1,137.58 ",
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,18/05/2018, 117.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,18/05/2018, 188.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,08/05/2018, 126.50 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,29/05/2018, 115.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Provisions,Handmade Speciality Products Ltd,18/05/2018, 203.09 ,
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Travelling Expenses General,Birch Travel,03/05/2018, 400.00 ,
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Travelling Expenses General,Birch Travel,03/05/2018, 365.00 ,
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Outside Hire,Enterprise Rent-A-Car Uk LTD Trading As Enterprise Flexi Rent,31/05/2018, 331.31 ,
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,Ezy Lockers,03/05/2018," 1,014.78 ",
Commercial Services,Sport & Leisure,Transport-Related Expenditure,Servicing & Repairs V&P,Stripe Master Ltd,21/05/2018, 430.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Hire,Fairway Wheels,16/05/2018, 450.00 ,
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,25/05/2018, 228.24 ,
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,25/05/2018, 128.28 ,
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Preventative Maintenance,Gym Repair Services,25/05/2018, 193.59 ,
Commercial Services,Sport & Leisure,Supplies & Services,Sport Equip - Purchase,Skunk Works Surf Company Limited,03/05/2018,"-1,268.75 ",
Commercial Services,Sport & Leisure,Supplies & Services,Sport Equip - Purchase,Skunk Works Surf Company Limited,03/05/2018," 2,537.50 ",
Commercial Services,Sport & Leisure,Supplies & Services,Equipment - Purchase,IcetechUK,21/05/2018," 4,700.00 ",
Commercial Services,Sport & Leisure,Supplies & Services,Carriage/Delivery Charge,IcetechUK,21/05/2018, 270.00 ,
Commercial Services,Sport & Leisure,Supplies & Services,Payment Of Income Collected,REDACTED PERSONAL INFORMATION’ ,18/05/2018, 237.80 ,
Commercial Services,Sport & Leisure,Supplies & Services,Payment Of Income Collected,REDACTED PERSONAL INFORMATION’ ,31/05/2018, 229.60 ,
Commercial Services,Sport & Leisure,Premises-Related Expenditure,Hire Of Rooms,Admaston House Community Centre Trust,18/05/2018, 720.00 ,
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,03/05/2018," 2,620.00 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,03/05/2018," 1,100.00 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,03/05/2018," 1,900.00 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,TELFORD & WREKIN SERVICES LTD,03/05/2018," 3,000.00 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,REDACTED PERSONAL INFORMATION’ ,08/05/2018, 110.00 ,
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,Blakedown Sport & Play Ltd,29/05/2018," 144,835.02 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,Technical Outdoor Solutions Ltd,11/05/2018," 2,850.00 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,PRYCE (BUILDERS) LTD,14/05/2018," 39,092.31 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,Morris Property Ltd,14/05/2018," 80,094.45 ",
Commercial Services,Sport & Leisure,Capital Expenditure,Payments to Contractor,FITZGERALD CONTRACTORS LTD,16/05/2018," 10,532.74 ",
Co-Operative Council,Community Participation,Premises-Related Expenditure,Hire Of Rooms,PARK LANE CENTRE,11/05/2018," 1,840.00 ",
Co-Operative Council,Corporate Core,Supplies & Services,Conference Expenses,ADCS,09/05/2018, 416.00 ,
Co-Operative Council,Corporate Core,Supplies & Services,Subscriptions,HEMMING GROUP LTD,29/05/2018, 140.00 ,
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,SHROPSHIRE COUNCIL ,31/05/2018, 900.00 ,
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,SHROPSHIRE COUNCIL ,31/05/2018, 105.00 ,
Co-Operative Council,Organisational Development & Delivery,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018," 3,200.00 ",
Co-Operative Council,Organisational Development & Delivery,Premises-Related Expenditure,R&M -Building Other,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,15/05/2018," 3,930.00 ",
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Furniture - Purchase,BROADSTOCK OFFICE FURNITURE LIMITED,18/05/2018, 742.00 ,
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Comp Software (Purch / Hire),CACI LTD,11/05/2018, 850.00 ,
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,11/05/2018," 1,386.02 ",
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,11/05/2018, 536.56 ,
Co-Operative Council,Organisational Development & Delivery,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,11/05/2018," 1,722.00 ",
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,FIRE MARQUE LTD,14/05/2018, 325.00 ,
Co-Operative Council,Organisational Development & Delivery,Employees,Course Fees,Always Consult Ltd,15/05/2018, 190.00 ,
Co-Operative Council,Organisational Development & Delivery,Employees,Staff Training,West Midlands Employers,16/05/2018," 3,375.00 ",
Co-Operative Council,Organisational Development & Delivery,Employees,Course Fees,Penna & Passmore Ltd,15/05/2018," 1,080.00 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Blue Badge Production,NORTHGATE PUBLIC SERVICES (UK) LTD,15/05/2018," 1,525.50 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Private Contractors,NORTHGATE PUBLIC SERVICES (UK) LTD,17/05/2018," 2,872.32 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Private Contractors,NORTHGATE PUBLIC SERVICES (UK) LTD,17/05/2018," 1,736.60 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Private Contractors,NORTHGATE PUBLIC SERVICES (UK) LTD,08/05/2018," 3,975.90 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,02/05/2018, 320.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,29/05/2018, 282.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,09/05/2018, 315.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,30/05/2018, 190.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,PayPoint Network Limited,16/05/2018, 194.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Fees,PayPoint Network Ltd ,04/05/2018," 1,440.00 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Employees,Agency Supply Costs,Venn Group Limited,17/05/2018, 560.50 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Employees,Agency Supply Costs,Venn Group Limited,17/05/2018, 418.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Employees,Agency Supply Costs,Venn Group Limited,17/05/2018, 707.75 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Employees,Agency Supply Costs,Venn Group Limited,02/05/2018, 560.50 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Furniture - Purchase,BROADSTOCK OFFICE FURNITURE LIMITED,21/05/2018, 636.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,17/05/2018, 230.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,17/05/2018, 145.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,17/05/2018, 140.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,17/05/2018, 215.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,17/05/2018, 470.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,17/05/2018, 495.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,03/05/2018, 215.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,03/05/2018, 405.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,DAWLEY BARGAIN CENTRE,03/05/2018, 140.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Subscriptions,HBINFO LTD,11/05/2018, 954.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Transfer Payments,Crisis Assistance Awards,A W HOLDINGS,02/05/2018, 488.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Grants To Voluntary Organis,TELFORD & WREKIN CITIZENS ADVICE BUREAU,21/05/2018, 536.40 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Blue Badge Assessments,ACCESS INDEPENDENT,14/05/2018, 675.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Computer Hardware (Maint),Tensator,17/05/2018," 2,975.00 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Other Services,Kings of the Road,09/05/2018, 295.00 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Third Party Payments,Private Contractors,Euclid Limited,15/05/2018, 465.99 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Postages,BAKER GOODCHILD MARKETING LTD,23/05/2018," 1,204.80 ",
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Printing - Other,BAKER GOODCHILD MARKETING LTD,23/05/2018, 401.60 ,
Customer & Neighbourhood Services,Benefits & Customer Services,Supplies & Services,Postages,BAKER GOODCHILD MARKETING LTD,29/05/2018, 322.41 ,
Customer & Neighbourhood Services,Communications & Marketing,Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,25/05/2018, 119.30 ,
Customer & Neighbourhood Services,"Community Safety, Cohesion & Environmental Enforement",Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION’ ,21/05/2018, 600.00 ,
Customer & Neighbourhood Services,"Community Safety, Cohesion & Environmental Enforement",Supplies & Services,Protective Clothing,KELTIC CLOTHING,15/05/2018, 757.90 ,
Customer & Neighbourhood Services,"Community Safety, Cohesion & Environmental Enforement",Supplies & Services,Protective Clothing,Red Zulu Limited,11/05/2018, 120.40 ,
Customer & Neighbourhood Services,"Community Safety, Cohesion & Environmental Enforement",Premises-Related Expenditure,Leasehold Rents,GPS Property Shropshire LLP,21/05/2018, 600.00 ,
Customer & Neighbourhood Services,"Community Safety, Cohesion & Environmental Enforement",Premises-Related Expenditure,Leasehold Rents,Northwood (Hereford) Ltd,21/05/2018, 610.00 ,
Customer & Neighbourhood Services,"Community Safety, Cohesion & Environmental Enforement",Employees,Other Training,"Shropshire Languages Society ""Speaking together""",01/05/2018, 480.00 ,
Customer & Neighbourhood Services,Customer & Registrars Services,Supplies & Services,Comp Hardware (Purch / Hire),NEOPOST LTD,24/05/2018, 400.00 ,
Customer & Neighbourhood Services,Customer & Registrars Services,Employees,Recruitment Advertising,Hiring Wizard Limited,09/05/2018," 1,695.00 ",
Customer & Neighbourhood Services,Customer & Registrars Services,Capital Expenditure,Payments to Contractor,Rushford Blue Consulting Limited,25/05/2018," 7,650.00 ",
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 195.26 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 226.31 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 598.55 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 122.25 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 142.03 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 533.52 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 155.56 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 241.13 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 331.33 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 286.39 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 401.78 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 163.69 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 129.52 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 251.15 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,04/05/2018, 104.28 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 219.41 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,31/05/2018, 803.97 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,15/05/2018, 436.80 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,15/05/2018," 1,150.40 ",
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,31/05/2018, 273.06 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,31/05/2018, 169.36 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,04/05/2018, 286.30 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,04/05/2018, 347.76 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,04/05/2018, 125.25 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,04/05/2018, 120.15 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,31/05/2018, 116.19 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,04/05/2018," 1,153.68 ",
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,31/05/2018, 251.10 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,31/05/2018, 295.86 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,31/05/2018, 251.04 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,31/05/2018, 260.73 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Libraries Book Fund,PETERS  LTD,31/05/2018, 244.44 ,
Customer & Neighbourhood Services,Library Services,Supplies & Services,Comp Software (Purch / Hire),Round Software Ltd,23/05/2018, 390.00 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Supplies & Services,Other Materials,Newport Heart of England in Bloom,21/05/2018, 389.28 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Supplies & Services,Sport Equip - Purchase,WICKSTEED LEISURE LTD,16/05/2018, 889.70 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,Contractor Recharge,TELFORD & WREKIN SERVICES LTD,21/05/2018, 191.50 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,Contractor Recharge,TELFORD & WREKIN SERVICES LTD,21/05/2018, 805.20 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,Contractor Recharge,TELFORD & WREKIN SERVICES LTD,18/05/2018," 1,700.00 ",
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,TWS Contract,TELFORD & WREKIN SERVICES LTD,24/05/2018," 254,564.42 ",
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,TWS Contract,TELFORD & WREKIN SERVICES LTD,24/05/2018," 773,101.08 ",
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,Contractor Recharge,TELFORD & WREKIN SERVICES LTD,21/05/2018, 904.32 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,Contractor Recharge,TELFORD & WREKIN SERVICES LTD,21/05/2018," 2,313.00 ",
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Supplies & Services,Sport Equip - Purchase,Broxap Ltd,01/05/2018, 650.00 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Supplies & Services,Materials,Broxap Ltd,25/05/2018, 175.00 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Employees,Training Expenses,TMS CONSULTANCY,31/05/2018," 2,080.00 ",
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Third Party Payments,Private Contractors,Midland Landscaping Ltd,15/05/2018, 944.17 ,
Customer & Neighbourhood Services,Neighbourhood & Environmental Services,Supplies & Services,Fees,Welsh Slate Water Features,08/05/2018," 4,500.00 ",
Customer & Neighbourhood Services,Public Protection,Supplies & Services,Equipment - Purchase,WOLVERHAMPTON CITY COUNCIL,01/05/2018,-615.00 ,
Customer & Neighbourhood Services,Public Protection,Employees,Professional Subs,Chartered Trading Standards Institute,24/05/2018, 126.00 ,
