Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,MACE LTD,05/12/2013,6212.17,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,NOBRIDGE LTD,04/12/2013,1000,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,12/12/2013,182166.07,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,12/12/2013,1820423.86,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,12/12/2013,93169.95,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,12/12/2013,670822.42,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,12/12/2013,919057.4,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,Morgan Sindall plc,12/12/2013,442858.54,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,External Professional Fees,HAYMARKET PUBLISHING SERVICES LTD,11/12/2013,360,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Marketing / Advertising,360 SKYLENS LIMITED,13/12/2013,225,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,External Professional Fees,FBC MANBY BOWDLER LLP,13/12/2013,750,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,External Professional Fees,Contracts & Procurement Advice Limited,16/12/2013,2061.5,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Computer Hardware,EUROPEAN ELECTRONIQUE LTD,16/12/2013,11500,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Computer Hardware,EUROPEAN ELECTRONIQUE LTD,03/12/2013,9795,,,,
"Development, Business & Housing",Regeneration & Investment,WCCA,Capital Expenditure,Payments to Contractor,MACE LTD,04/12/2013,6000,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAG,Supplies & Services,Computer Software (Maint),PROSPECTS DISTRIBUTION SERVICES LTD,16/12/2013,300,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ALAK,Transport-Related Expenditure,Licences,Adviza Partnership,02/12/2013,170,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAD,Supplies & Services,Other Grants (Expenses),CENTRAL TAXIS LTD SHREWSBURY,19/12/2013,139.5,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAD,Supplies & Services,Other Grants (Expenses),CENTRAL TAXIS LTD SHREWSBURY,02/12/2013,118,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAD,Third Party Payments,Private Contractors,WYLDWOODS LTD,19/12/2013,36000,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",ANAD,Third Party Payments,Private Contractors,Lil Hair House Ltd,02/12/2013,1500,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",KSAX,Third Party Payments,Agency Services,Hereward College,16/12/2013,24512.08,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",KSAX,Third Party Payments,Agency Services,Ruskin Mill Trust,16/12/2013,19153,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",KSAX,Third Party Payments,Agency Services,National Star College,16/12/2013,30341,,,,
"Development, Business & Housing","Skills Delivery, Lifelong Learning, Careers & Youth Emplyment",KSAX,Third Party Payments,Agency Services,The Royal National College for the Blind,16/12/2013,10317.67,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Staff Training,Crisis Prevention Institute Europe,03/12/2013,1860,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,13/12/2013,342,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,13/12/2013,590.6,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,13/12/2013,513,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,13/12/2013,354.36,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,20/12/2013,513,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,20/12/2013,315,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,20/12/2013,315,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,20/12/2013,165,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,20/12/2013,165,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,20/12/2013,570,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,20/12/2013,353,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,20/12/2013,842.48,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,20/12/2013,1145.6,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,20/12/2013,590.6,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,HAYS SPECIALIST RECRUITMENT,20/12/2013,315,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Employees,Agency Supply Costs,CELSIAN EDUCATION,03/12/2013,590.6,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Supplies & Services,Photocopying,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),03/12/2013,186.01,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",1106,Supplies & Services,Equipment - Hire,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),03/12/2013,462.13,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAC,Supplies & Services,Comp Hardware (Purch / Hire),ORANGE PCS LTD,16/12/2013,119,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAC,Third Party Payments,Private Contractors,Lil Hair House Ltd,12/12/2013,1600,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAD,Premises-Related Expenditure,Hire Of Rooms,AFC TELFORD UNITED,13/12/2013,200,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAD,Transport-Related Expenditure,Transport Contractors,DIAMOND CARS (TELFORD) LTD,13/12/2013,150,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAF,Employees,Course Fees,DYSLEXIA ACTION SHOP LTD,03/12/2013,150,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAF,Supplies & Services,Stationery,WEST MERCIA SUPPLIES Catalogue Supplies (None Utility),09/12/2013,115,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",KSAF,Supplies & Services,Registration / Licence Fees,STAFF SELECT LTD T/A NOVA TRAINING LTD,03/12/2013,3037.5,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",WKAB,Capital Expenditure,Computer Hardware,EUROPEAN ELECTRONIQUE LTD,11/12/2013,2742,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",WKAG,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,10/12/2013,4076.04,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",WKAG,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,13/12/2013,18053,,,,
Education & Skills,"Achievement, Standards & Alternative Provision",WKAG,Capital Expenditure,Computer Hardware,SPECIALIST COMPUTERS CENTRES PLC,13/12/2013,17549.2,,,,
Education & Skills,Building Schools for the Future (BSF),GFAA,Employees,Staff Training,PLANET PC,17/12/2013,1500,,,,
Education & Skills,Building Schools for the Future (BSF),GFAA,Supplies & Services,Miscellaneous Insurance,AON LTD,05/12/2013,351,,,,
Education & Skills,Building Schools for the Future (BSF),WGAC,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,360.52,,,,
Education & Skills,Building Schools for the Future (BSF),WGAC,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,450.63,,,,
Education & Skills,Building Schools for the Future (BSF),WGAD,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,860.97,,,,
Education & Skills,Building Schools for the Future (BSF),WGAD,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,19/12/2013,1438.05,,,,
Education & Skills,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1174.05,,,,
Education & Skills,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,222.25,,,,
Education & Skills,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,2191.56,,,,
Education & Skills,Building Schools for the Future (BSF),WGAE,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,957.65,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,CHUBB FIRE & SECURITY LTD,05/12/2013,5234.09,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BES LTD (GAS),05/12/2013,350,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BRITISH GAS BUSINESS ELEC (502015),05/12/2013,133.99,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,2307.49,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BES LTD (GAS),05/12/2013,320,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BES LTD (GAS),05/12/2013,350,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,BES LTD (GAS),05/12/2013,350,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,703.12,,,,
Education & Skills,Building Schools for the Future (BSF),WGAG,Capital Expenditure,Payments to Contractor,KIER CONSTRUCTION LTD,20/12/2013,38673.63,,,,
Education & Skills,Building Schools for the Future (BSF),WGAH,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1128.8,,,,
Education & Skills,Building Schools for the Future (BSF),WGAH,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1062.4,,,,
Education & Skills,Building Schools for the Future (BSF),WGAH,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,05/12/2013,142,,,,
Education & Skills,Building Schools for the Future (BSF),WGAH,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,519.86,,,,
Education & Skills,Building Schools for the Future (BSF),WGAH,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,19/12/2013,1356,,,,
Education & Skills,Building Schools for the Future (BSF),WGAJ,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1736.53,,,,
Education & Skills,Building Schools for the Future (BSF),WGAJ,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1349.67,,,,
Education & Skills,Building Schools for the Future (BSF),WGAJ,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,23/12/2013,715242,,,,
Education & Skills,Building Schools for the Future (BSF),WGAK,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,352.22,,,,
Education & Skills,Building Schools for the Future (BSF),WGAK,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,187.5,,,,
Education & Skills,Building Schools for the Future (BSF),WGAK,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1252.32,,,,
Education & Skills,Building Schools for the Future (BSF),WGAK,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1438.91,,,,
Education & Skills,Building Schools for the Future (BSF),WGAK,Capital Expenditure,Payments to Contractor,ABSOLUTE ECOLOGY,19/12/2013,1420,,,,
Education & Skills,Building Schools for the Future (BSF),WGAL,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,3796.1,,,,
Education & Skills,Building Schools for the Future (BSF),WGAL,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,266.5,,,,
Education & Skills,Building Schools for the Future (BSF),WGAL,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1643.67,,,,
Education & Skills,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,772.61,,,,
Education & Skills,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,683.93,,,,
Education & Skills,Building Schools for the Future (BSF),WGAM,Capital Expenditure,Legal Fees,WARD HADAWAY SOLICITORS,05/12/2013,334,,,,
Education & Skills,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,750.32,,,,
Education & Skills,Building Schools for the Future (BSF),WGAM,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,1150.77,,,,
Education & Skills,Building Schools for the Future (BSF),WGAN,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,828.16,,,,
Education & Skills,Building Schools for the Future (BSF),WGAN,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,532.95,,,,
Education & Skills,Building Schools for the Future (BSF),WGAN,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,889.77,,,,
Education & Skills,Building Schools for the Future (BSF),WGAN,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,924.88,,,,
Education & Skills,Building Schools for the Future (BSF),WGAS,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,638.77,,,,
Education & Skills,Building Schools for the Future (BSF),WGAS,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,361.16,,,,
Education & Skills,Building Schools for the Future (BSF),WGAS,Capital Expenditure,External Professional Fees,MOTT MACDONALD LIMITED,05/12/2013,259.98,,,,
Education & Skills,Building Schools for the Future (BSF),WGAS,Capital Expenditure,Payments to Contractor,Shepherd Construction Ltd,20/12/2013,200904.42,,,,
Education & Skills,Consultancy & Advisory Services for Schools,GBAJ,Supplies & Services,Equipment - Purchase,LUCID RESEARCH LTD,04/12/2013,136.01,,,,
Education & Skills,School Improvement,KSAP,Supplies & Services,Conference Expenses,AFC TELFORD UNITED,12/12/2013,148.33,,,,
Education & Skills,School Improvement,KSAP,Supplies & Services,Conference Expenses,AFC TELFORD UNITED,12/12/2013,199.79,,,,
Education & Skills,Schools Organisation & Trading Co-ordination,KNAK,Supplies & Services,Conference Expenses,London Borough of Richmond upon Thames,24/12/2013,175,,,,
Family & Cohesion Services,Children Specialist Services,GPAA,Employees,Course Fees,NATIONAL AUTISTIC  SOCIETY,24/12/2013,315,,,,
Family & Cohesion Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,R82 UK LIMITED,24/12/2013,336,,,,
Family & Cohesion Services,Children Specialist Services,HDAG,Supplies & Services,Aids & Appliances,PRISM MEDICAL WESTHOLME DIVISION,06/12/2013,2022.2,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,09/12/2013,204.5,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,09/12/2013,108,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,09/12/2013,414.05,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,09/12/2013,147,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,09/12/2013,152.8,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,09/12/2013,262.51,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Supplies & Services,Other Services,WE ARE THE CARE COMPANY LTD,24/12/2013,114.4,,,,
Family & Cohesion Services,Children Specialist Services,HDAJ,Third Party Payments,Agency Services,AMG NURSING & CARE SERVICES,10/12/2013,304.28,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Supplies & Services,Printing - Other,Graphics and Print (Telford) Ltd,23/12/2013,130,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,191.64,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,11/12/2013,121.92,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,147.8,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,274.99,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,329.42,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,118.24,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,191.64,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,118.24,,,,
Family & Cohesion Services,Children Specialist Services,HDAK,Third Party Payments,Agency Services,D H Homecare Limited,18/12/2013,191.64,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Supplies & Services,Other Tuition Fees,YOUNG OPTIONS COLLEGE LTD,10/12/2013,26419.05,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,04/12/2013,32710,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,04/12/2013,29439,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,04/12/2013,32034,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,04/12/2013,29166.67,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,04/12/2013,29166.67,,,,
Family & Cohesion Services,Children Specialist Services,KNAA,Third Party Payments,Agency Services,CRUCKTON HALL SCHOOL,11/12/2013,32710,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Employees,Course Fees,MARY HARE SCHOOL,12/12/2013,3210,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Employees,Staff Training,HAMMONDS CATERING SERVICES LTD,04/12/2013,200,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,OTICON LIMITED,02/12/2013,1104,,,,
Family & Cohesion Services,Children Specialist Services,KNAJ,Supplies & Services,Equipment - Purchase,SOUNDBYTE SOLUTIONS (UK) LTD,04/12/2013,109,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,AE PROPERTY MAINTENANCE,02/12/2013,160,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,400.3,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,THE WREKIN HOUSING TRUST,05/12/2013,1506,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,VPS (UK) LTD,02/12/2013,191,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,R&M -Buildings DLO Charge,VPS (UK) LTD,02/12/2013,135,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,CHURCHILL PL LIMITED,13/12/2013,385.5,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,403.1,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,431.1,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,506.7,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,404,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,443.4,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,KEY ANGELS LTD,13/12/2013,400,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,CHURCHILL PL LIMITED,13/12/2013,420.6,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,CHURCHILL PL LIMITED,13/12/2013,420.6,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,420.6,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,431.1,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,KEY ANGELS LTD,13/12/2013,455,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,KEY ANGELS LTD,13/12/2013,400,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,CHURCHILL PL LIMITED,13/12/2013,420.6,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,CHURCHILL PL LIMITED,13/12/2013,431.1,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,429.2,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,CHURCHILL PL LIMITED,13/12/2013,420.6,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Premises-Related Expenditure,Leasehold Rents,REDACTED PERSONAL INFORMATION,13/12/2013,477.2,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAG,Supplies & Services,Furniture - Purchase,DAWLEY BARGAIN CENTRE,20/12/2013,165,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAH,Premises-Related Expenditure,R&M -Buildings DLO Charge,BRITISH GAS SERVICES (COMMERCIAL) LTD,20/12/2013,315,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAH,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),23/12/2013,716.65,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAH,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/12/2013,1268.57,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAJ,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/12/2013,121.33,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAJ,Premises-Related Expenditure,Gas,West Mercia Energy (WME),23/12/2013,136.86,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,SEAN BYRNE,02/12/2013,12415,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,CHRIS BREEZE LTD,02/12/2013,101.5,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,02/12/2013,158.17,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,629.92,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,Electricity,West Mercia Energy (WME),12/12/2013,2364.89,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,CHRIS BREEZE LTD,02/12/2013,201.25,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,CHRIS BREEZE LTD,20/12/2013,101.5,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,02/12/2013,178.29,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2013,500,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Buildings DLO Charge,GRANVILLE CONSTRUCTION & MAINTENANCE LTD,02/12/2013,1716.2,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,20/12/2013,134.96,,,,
Family & Cohesion Services,Cohesion including Homelessness/Housing Needs,DHAP,Premises-Related Expenditure,R&M -Building Other,JONES & HAMPTON LTD,20/12/2013,206.4,,,,
